age,annual_premium,policy_tenure_months,claim_amount,num_claims_last_3yrs,vehicle_age,incident_severity,police_report,witness_present,fraud_reported,incident_type_fire,incident_type_natural disaster,incident_type_theft,customer_state_dl,customer_state_ka,customer_state_mh,customer_state_tn,customer_state_ts,channel_branch,channel_online,claim_status_open,claim_status_under review,claim_to_premium_ratio,is_repeat_claimant,tenure_bucket_short,tenure_bucket_mid,tenure_bucket_long
23,49975.4,173,79834.99,0,1.0,3,1,0,0,True,False,False,False,True,False,False,False,False,False,False,False,1.597453798192747,0,False,False,True
62,31969.79,96,156681.04,2,4.0,1,1,0,1,True,False,False,False,False,False,False,False,False,False,True,False,4.900755971310062,0,False,True,False
55,39361.45,116,69038.62,0,14.0,2,0,1,1,False,False,False,False,False,True,False,False,False,False,False,False,1.7539208052344304,0,False,True,False
43,6080.94,109,1000.0,3,0.0,1,0,0,0,False,True,False,False,True,False,False,False,True,False,False,True,0.16442122086044914,1,False,True,False
42,21123.83,180,107700.01,1,2.0,1,1,1,0,False,False,True,False,False,False,False,False,False,False,False,False,5.0982663529126615,0,False,False,True
66,31474.65,133,53544.02,0,13.0,1,1,1,0,False,False,True,False,True,False,False,False,False,True,False,False,1.701125155477329,0,False,False,True
22,22134.4,22,86918.4,1,8.0,1,1,0,0,False,False,False,False,False,False,False,True,True,False,False,False,3.9266694977276213,0,False,False,False
57,43572.76,13,81098.29,1,0.0,1,1,1,0,False,False,False,False,True,False,False,False,False,True,False,False,1.8611726415163619,0,False,False,False
29,58967.56,74,72683.32,0,7.0,1,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,1.2325774955332132,0,False,True,False
23,20880.62,93,120565.33,1,11.0,1,0,0,0,True,False,False,False,False,False,False,True,False,False,False,True,5.773753664706091,0,False,True,False
48,24950.44,121,16021.08,1,5.0,1,0,1,0,False,False,True,False,False,False,True,False,False,False,False,False,0.6420903963859401,0,False,False,True
73,37825.38,87,61734.36,1,6.0,1,0,1,0,False,False,False,False,False,False,True,False,True,False,False,False,1.6320451494433252,0,False,True,False
59,54333.39,93,115781.71,0,10.0,3,1,0,1,False,False,False,True,False,False,False,False,False,True,False,False,2.130910276162114,0,False,True,False
61,20331.51,166,57366.19,1,9.0,1,0,1,0,False,False,False,False,False,True,False,False,False,True,False,False,2.821402276452834,0,False,False,True
58,37988.43,61,12603.7,1,14.0,2,1,1,0,False,False,False,False,True,False,False,False,False,True,False,True,0.3317685998447463,0,False,True,False
62,56855.59,89,115084.99,0,3.0,1,1,0,1,False,True,False,True,False,False,False,False,False,True,False,True,2.0241275461648334,0,False,True,False
47,15178.89,101,135539.26,0,4.0,1,0,1,1,False,False,False,False,False,False,False,False,False,True,False,False,8.928869708542026,0,False,True,False
25,19627.17,85,82975.22,2,2.0,1,1,0,1,False,False,False,False,True,False,False,False,False,False,False,False,4.22735384908527,0,False,True,False
65,29916.72,175,1000.0,1,10.0,1,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,0.033425006985826455,0,False,False,True
43,28752.94,174,116768.64,1,8.0,1,0,1,1,False,False,False,False,False,False,False,False,False,False,False,True,4.060961384770226,0,False,False,True
46,44751.22,93,10305.05,2,5.0,2,0,0,0,False,False,True,False,False,False,True,False,False,True,False,False,0.2302690235255368,0,False,True,False
39,37899.92,82,98895.97,0,11.0,1,0,0,1,False,True,False,False,True,False,False,False,True,False,False,False,2.6093290083723564,0,False,True,False
28,13700.46,107,45064.13,0,6.0,2,1,0,0,False,False,True,True,False,False,False,False,False,True,False,True,3.289002047956933,0,False,True,False
70,41184.92,33,32807.23,0,3.0,1,1,1,0,False,False,True,False,False,False,True,False,False,True,False,True,0.7965642141780493,0,True,False,False
62,34983.29,77,65114.05,2,8.0,1,0,0,0,False,False,False,False,False,False,False,True,True,False,False,False,1.8612368580297043,0,False,True,False
54,50293.37,40,76751.61,2,6.0,1,0,1,1,False,False,True,False,False,False,True,False,False,False,False,False,1.526047746497272,0,True,False,False
